,Name,School Type,lat,long
155,St. Stephen's School,Primary,1.3190059,103.9154153
156,Tampines North Primary School,Primary,1.360298,103.948581
157,Tampines Primary School,Primary,1.3500829,103.9423044
158,Tanjong Katong Primary School,Primary,1.3053784,103.8981635
159,Tao Nan School,Primary,1.3049059,103.911434
160,Teck Ghee Primary School,Primary,1.3653954,103.8506032
161,Teck Whye Primary School,Primary,1.3837636,103.7537174
162,Telok Kurau Primary School,Primary,1.3308237,103.911406
163,Temasek Primary School,Primary,1.3175073,103.9454839
164,Townsville Primary School,Primary,1.3600534,103.8537829
165,Unity Primary School,Primary,1.403245,103.74729
166,Valour Primary School,Primary,1.4065167,103.8995102
167,Waterway Primary School,Primary,1.3990541,103.9184708
168,Wellington Primary School,Primary,1.4522446,103.8197734
169,West Grove Primary School,Primary,1.3446825,103.696754
170,West Spring Primary School,Primary,1.3893631,103.7662554
171,Westwood Primary School,Primary,1.3472361,103.6982821
172,West View Primary School,Primary,1.3837275,103.7579532
173,White Sands Primary School,Primary,1.3654493,103.9610714
174,Woodgrove Primary School,Primary,1.433264,103.7900902
175,Woodlands Primary School,Primary,1.436771,103.7896053
176,Woodlands Ring Primary School,Primary,1.4345519,103.7978994
177,Xinghua Primary School,Primary,1.357958,103.8901418
178,Xingnan Primary School,Primary,1.3425489,103.6870917
179,Xinmin Primary School,Primary,1.371371,103.883074
180,Xishan Primary School,Primary,1.4334989,103.8378387
181,Yangzheng Primary School,Primary,1.3488247,103.8683225
182,Yew Tee Primary School,Primary,1.396978,103.7511849
183,Yio Chu Kang Primary School,Primary,1.3779984,103.8855819
184,Yishun Primary School,Primary,1.4334926,103.8338127
185,Yu Neng Primary School,Primary,1.3338292,103.9318969
186,Yuhua Primary School,Primary,1.3429774,103.7409109
187,Yumin Primary School,Primary,1.3516199,103.9511251
188,Zhangde Primary School,Primary,1.284578,103.826193
189,Zhenghua Primary School,Primary,1.3801974,103.7670015
190,Zhonghua Primary School,Primary,1.359895,103.869558
191,Admiralty Secondary School,Secondary,1.4462673,103.8026082
192,Ahmad Ibrahim Secondary School,Secondary,1.4364306,103.8299804
193,Anderson Secondary School,Secondary,1.375197,103.849152
194,Anglican High School,Secondary,1.3307761,103.9416359
195,Anglo-Chinese School (Barker Road),Secondary,1.3195044,103.8360738
196,Anglo-Chinese School (Independent),Secondary,1.3025841,103.7807147
197,Ang Mo Kio Secondary School,Secondary,1.3672319,103.8426326
198,Assumption English School,Secondary,1.3681024,103.7661047
199,Bartley Secondary School,Secondary,1.3402886,103.8828396
200,Beatty Secondary School,Secondary,1.3416799,103.8518807
201,Bedok Green Secondary School,Secondary,1.3341416,103.935336
202,Bedok South Secondary School,Secondary,1.3261765,103.9506551
203,Bedok View Secondary School,Secondary,1.3246274,103.9438629
204,Bendemeer Secondary School,Secondary,1.3245163,103.8605913
205,Boon Lay Secondary School,Secondary,1.3433488,103.7018871
206,Bowen Secondary School,Secondary,1.371165,103.877974
207,Broadrick Secondary School,Secondary,1.3072755,103.8872129
208,Bukit Batok Secondary School,Secondary,1.3484677,103.7401883
209,Bukit Merah Secondary School,Secondary,1.2858957,103.813113
210,Bukit Panjang Government High School,Secondary,1.3818716,103.7385804
211,Bukit View Secondary School,Secondary,1.3460903,103.752164
212,Catholic High School,Secondary,1.3546049,103.8429347
213,Canberra Secondary School,Secondary,1.4536632,103.8144127
214,Cedar Girls' Secondary School,Secondary,1.3342746,103.8741655
215,Changkat Changi Secondary School,Secondary,1.3410275,103.9528325
216,CHIJ Katong Convent (Secondary),Secondary,1.3065932,103.9173898
217,CHIJ Secondary (Toa Payoh),Secondary,1.332431,103.8432942
218,CHIJ St. Joseph's Convent,Secondary,1.391747,103.902461
355,Temasek Junior College,Junior College,1.3186051,103.9355346
220,CHIJ St. Theresa's Convent,Secondary,1.2754058,103.8218559
221,Chua Chu Kang Secondary School,Secondary,1.3834832,103.7515449
222,Christ Church Secondary School,Secondary,1.4263994,103.7934218
223,Chung Cheng High School (Main),Secondary,1.3054121,103.8915495
224,Chung Cheng High School (Yishun),Secondary,1.418737,103.837311
225,Clementi Town Secondary School,Secondary,1.3154596,103.7622755
226,Commonwealth Secondary School,Secondary,1.3189509,103.7455955
227,Compassvale Secondary School,Secondary,1.396086,103.899711
228,Crescent Girls' School,Secondary,1.2940214,103.8168823
229,Damai Secondary School,Secondary,1.3364646,103.9270415
230,Deyi Secondary School,Secondary,1.366291,103.8526888
231,Dunearn Secondary School,Secondary,1.363167,103.7445869
233,Dunman Secondary School,Secondary,1.3610555,103.9559258
234,East Spring Secondary School,Secondary,1.3568208,103.9607517
235,Edgefield Secondary School,Secondary,1.4002914,103.9021546
236,Evergreen Secondary School,Secondary,1.4415383,103.7936114
237,Fairfield Methodist Secondary School,Secondary,1.3017827,103.7844805
238,Fajar Secondary School,Secondary,1.3755092,103.7645411
239,Fuchun Secondary School,Secondary,1.4302916,103.7769467
240,Fuhua Secondary School,Secondary,1.347278,103.7265636
241,Gan Eng Seng School,Secondary,1.2893316,103.8237338
242,Geylang Methodist School (Secondary),Secondary,1.3174867,103.8822403
243,Greendale Secondary School,Secondary,1.3974271,103.9118624
244,Greenridge Secondary School,Secondary,1.3820599,103.7738085
245,Guangyang Secondary School,Secondary,1.344693,103.850566
246,Hai Sing Catholic School,Secondary,1.3745291,103.9551952
247,Hillgrove Secondary School,Secondary,1.3527623,103.7528841
248,Holy Innocents' High School,Secondary,1.3711481,103.8938273
249,Hong Kah Secondary School,Secondary,1.3521827,103.7271021
250,Hougang Secondary School,Secondary,1.3775817,103.8823967
251,Hua Yi Secondary School,Secondary,1.3527239,103.7216378
346,Hwa Chong Junior College,Junior College,1.3259054,103.805715
253,Junyuan Secondary School,Secondary,1.3533278,103.9335232
254,Jurong Secondary School,Secondary,1.330365,103.724282
255,Jurong West Secondary School,Secondary,1.3358625,103.7016785
256,Jurongville Secondary School,Secondary,1.3516392,103.7291022
257,Juying Secondary School,Secondary,1.3395385,103.6871958
258,Kent Ridge Secondary School,Secondary,1.3013766,103.7649426
259,Kranji Secondary School,Secondary,1.3906192,103.7415227
260,Kuo Chuan Presbyterian Secondary School,Secondary,1.349824,103.8549463
261,Loyang View Secondary School,Secondary,1.3668644,103.9568413
262,Manjusri Secondary School,Secondary,1.3275139,103.9013217
252,Hwa Chong Institution,Secondary,1.3259054,103.805715
264,Marsiling Secondary School,Secondary,1.4381054,103.7763303
265,Mayflower Secondary School,Secondary,1.3686252,103.8352119
266,Meridian Secondary School,Secondary,1.3675302,103.9492665
349,National Junior College,Junior College,1.330476,103.8023113
268,Montfort Secondary School,Secondary,1.374084,103.888829
269,Nan Chiau High School,Secondary,1.3893933,103.8899829
270,Nan Hua High School,Secondary,1.3082792,103.768856
271,Nanyang Girls' High School,Secondary,1.3307195,103.8024603
273,Naval Base Secondary School,Secondary,1.4189335,103.830682
274,New Town Secondary School,Secondary,1.3100184,103.7731811
275,Ngee Ann Secondary School,Secondary,1.3542893,103.9568201
276,North Vista Secondary School,Secondary,1.38121,103.8990751
277,Northbrooks Secondary School,Secondary,1.4210901,103.8451567
278,Northland Secondary School,Secondary,1.4358326,103.838005
279,NUS High School of Mathematics and Science,Secondary,1.3071072,103.7693914
280,Orchid Park Secondary School,Secondary,1.4156038,103.8359012
281,Outram Secondary School,Secondary,1.286507,103.837091
282,Pasir Ris Crest Secondary School,Secondary,1.3728674,103.9594764
283,Pasir Ris Secondary School,Secondary,1.354757,103.948533
